id,data,feat_C_is_measurable,feat_E_has_commitment_verb,feat_A_is_historical,feat_A_is_historical_analysis,feat_B_is_risk_disclosure,feat_B_is_risk_disclosure_analysis,feat_D_has_hedging_words,feat_D_has_hedging_words_analysis
10001,"某公司除在「工作規則」中依照勞基法明確規定「員工在產假期間公司不得終止勞動契約」外,為支持同仁與其家人度過人生不同階段,自 2024 年起提供女性員工在分娩前後計有 12 週共 84 天的產假;男性員工則可於其配偶懷孕期間陪同產檢或生(流)產日及前後 15 日間請假陪伴,兩者合計共有 10 天陪產(檢)假可運用,陪產(檢)假期間工資照常給付。",1,0,0,Step 1: 時間錨點是自2024年起，核心動作為提供產假制度。Step 2: 這是已計畫且即將實施的福利制度。Step 3: 沒有未來其他承諾，核心是未來的新制度。Step 4: 判定為未來，故為 0。,0,Step 1: 文本的核心是公司本身的行動與治理政策。Step 2: 描述的是公司提供的產假政策，不涉及未來情境的財務衝擊。Step 3: 這是公司政策與福利的揭露，不是單純數據或風險管理流程。Step 4: 判定為 0。,0,Step 1: 文中沒有使用任何軟詞或條件式逃脫。Step 2: 具體說明自2024年起提供的產假政策，包括女性員工享有共84天的產假及男性員工享有10天的陪產假。Step 3: 提供的假期數量和工資給付的內容是明確的，可以被第三方查證。Step 4: 沒有軟詞需要覆蓋，以具體措施為主，判定為0。
10002,"在與供應商攜手邁向永續發展的過程中,某公司致力於建立一套以合作為基礎的價值體體系。核心原則是推動供應鏈的低碳轉型,同時維護人權、保護環境和促進生物多樣性,以建立永續的合作夥伴關係。",1,1,0,Step 1: 核心動作是建立價值體系和推動低碳轉型，時間錨點未明確指示過去或現在。Step 2: 建立體系和推動轉型是未來必須執行才能達成的目標。Step 3: 文本核心在於承諾的推動與建立，非已完成事宜。Step 4: 判定為未來，故為 0。,0,Step 1: 主詞是公司在供應鏈中採取的行動。Step 2: 描述的是公司主動推動的低碳轉型和永續合作，不是未來情境造成的損失。Step 3: 不是單純數據揭露，屬於公司主動策略。Step 4: 判定為 0。,1,Step 1: 使用了致力於、合作為基礎、推動、建立永續等公關軟詞。Step 2: 沒有具體時間、數字、認證或明確行動。Step 3: 缺乏可查證的具體措施或成果。Step 4: 軟詞是文句核心，無具體目標覆蓋，所以判定為 1。
10003,"III. 產品危害物質減免 (HSF) 短、中、長期目標設定 **1. 2024 年 目標和實績** * 已達標 * 詳述於 ""產品各階段危害物質減免風險管理目標與成效"" **2. 短期目標 2025~2026 年** * 監控 PFAS 中有害物質管制要求 * 減少 RoHS 豁免零件之使用,往 Lead Free 持續前進。 **3. 中長期目標 2026~2027 年** * 優化綠色管理系統審查作業提升效率。",1,1,1,Step 1: 包含2024年已達標的目標與2025~2027年待達成的目標。Step 2: 2024年達標是已完成，而2025~2027年目標是未來計畫。Step 3: 雖然有未來計畫，但文本中強調已達成2024年的目標。Step 4: 根據Edge Case Guidelines的混合時態核心判斷，核心是已達成的績效，因此判定為歷史/現狀，故為 1。,0,Step 1: 主詞是公司產品危害物質減免的目標與成效。Step 2: 描述的是2024年的目標達成、未來目標設定與行動方向。Step 3: 僅為公司主動揭露的目標與改善行動，屬於企業承諾與績效。Step 4: 判定為 0。,0,Step 1: 包含持續前進、優化等軟詞。Step 2: 文中有2024年已達標具體成果，及2025~2027年的時間框架。Step 3: 2024年的實績可查證，其餘目標有時間設定。Step 4: 硬證據和時間框架提供具體性，故判定為 0。
10004,"面對這些全球與國內政策的推動,某公司秉持永續經營理念,積極透過永續金融的投資力量,引導被投資公司與企業進行永續轉型,除非資金明確用於綠能轉型計畫,不再新增投資燃煤比重超過 50% 的電廠。同時,針對燃料煤開採、運輸業、燃料煤發電及非典型油氣產業,制定嚴格的准入與撤資標準,積極引導資金流向低碳與可再生能源領域,展現對環境永續的堅定承諾,並連續 4 年榮獲「台灣永續投資典範機構獎 – 機構影響力 (壽險組)」殊榮,在責任投資與推動企業永續發展上的卓越表現備受肯定。",1,1,1,Step 1: 核心動作是制定標準與引導資金，包括過去取得的獎項。Step 2: 榮獲獎項與過去的卓越表現已發生，制定標準與引導資金為持續實施中。Step 3: 核心為已經展現的成果與現行措施。Step 4: 判定為歷史/現狀，故為 1。,0,Step 1: 主詞是公司本身及其永續行動。Step 2: 描述的是公司主動進行的投資策略調整及成就，而非外部情境造成的衝擊。Step 3: 內容涉及公司制定計劃和獎項成就，不是風險或衝擊的被動揭露。Step 4: 屬於企業主動發起的永續政策和承諾，判定為 0。,0,Step 1: 出現積極引導、堅定承諾等軟詞。Step 2: 但有明確的行動，如不再新增投資燃煤比重超過 50% 的電廠，並制定嚴格的准入與撤資標準。另外，獲獎信息具體可查證。Step 3: 制度標準及過去榮獲獎項也可被第三方查證。Step 4: 硬證據多，軟詞只是修辭，故判定為 0。
10005,"關注人才關鍵議題,新加坡亞洲新聞臺(CNA)特別製作專題《Taiwan’s tech industry taps female talent pool amid labour shortage》,在報導中聚焦基金會所舉辦的 Girls! TECH Action 科技女孩工作坊,探討企業如何透過教育計畫來翻轉科技產業中的性別失衡,有效地減少女性在 STEM 領域的管漏現象,並鼓勵更多國高中女生投入 STEM(科學、技術、工程與數學)領域,並充分發揮女性在科技創新的潛力!在全球科技人才短缺的挑戰下,臺灣和新加坡對此議題都表現出高度關注。兩國的科技產業正積極尋找方法挖掘女性人才的潛力,希望藉此減緩人才短缺問題,並促進產業的多元樣貌化發展。透過教育和相關計畫,致力於提升女性在 STEM 領域的參與,確保科技創新能夠從更多元的觀點中受益,幫助解決當前的人才需求挑戰。",0,1,0,Step 1: 核心動作是透過教育計畫來減少性別失衡，並提升女性在 STEM 的參與。未來目標是解決人才短缺。Step 2: 這是未來要持續進行的行動及期望達成的目標。Step 3: 文本核心在於未來的計畫與期望成效。Step 4: 判定為未來，故為 0。,0,Step 1: 主詞是公司與行業的主動行動，強調透過教育計劃吸引女性投入科技領域。Step 2: 描述的是公司和產業主動採取的政策與方案，目的是提升女性參與度和解決人才短缺。Step 3: 這是對公司政策和舉措的揭露，非未來情境造成的衝擊揭露。Step 4: 判定為 0。,1,"Step 1: 文中使用的詞彙如""關注、探討、有效地、鼓勵、希望、致力於""等，屬於公關軟詞和願景性用語。Step 2: 沒有具體的時間、數字、具體成果或認證相關資訊。Step 3: 這些主張難以被第三方客觀查證，沒有明確量化的目標或已完成的成就。Step 4: 軟詞為核心，也是文本的主要內容表達，因此判定為 1。"
10006,"本集團對所使用的化學品已100%進行識別,主動管理危害物質,並對限制/監測使用的物質提前部署消減計劃,致力實現有害物質減免(「HSF」)。目前,集團79%(重量比)的高度關注物質已完成汰換方案的制定,剩餘之21%,因工藝限制、技術挑戰等複雜因素,其汰換方案尚處於積極討論階段。我們將持續關注這些高度關注物質並於官網及時更新其汰換與推動進展。",1,1,1,"Step 1: 句中的核心動作包括已識別化學品、已主動管理危害物質、已提前部署計劃，以及有害物質減免的努力。時間錨點包括目前79%方案已完成而21%尚在討論中。Step 2: 化學品識別和部分汰換方案已經完成，是已發生的事項。剩餘的21%汰換方案和未來更新是尚待完成的部分。Step 3: 核心是目前的現狀和已完成的部分，但也涉及未來的進一步目標。Step 4: 依據 ""已完成/現狀優先"" 的指南，該文本核心中大部分成就在於已完成，因此判定為歷史/現狀，故為 1。",0,Step 1: 文本核心主詞是公司本身的行動。Step 2: 描述的是公司主動管理危害物質、制定消減計劃與汰換方案。Step 3: 不是單純數據揭露，是主動的汰換與減免行動。Step 4: 判定為 0。,0,"Step 1: 文中有""致力實現""及""積極討論""等軟詞，但也說明了具體的行動與完成狀態。Step 2: 具體提到100%進行識別及79%汰換方案的制定。Step 3: 行動的具體百分比與計劃可被查證。Step 4: ""持續關注""並未取代具體行動，軟詞並非核心，判定為0。"
10007,"某公司積極透過推動綠色採購管理設備、耗材與建材,選擇綠建材進行門市裝修並採購取得節能標章、環保標章或驗證或具有實際環保效益的設備與耗材應用於門市,2023 年擴大範圍率通路之先全面採用「FSC 森林永續認證」咖啡紙杯,採購金額為 617,979 仟元,相較 2023 年成長近 2 倍,在維持營運順暢與服務品質的同時,也降低消耗天然資源與環境負面影響。我們 2024 年綠色採購總金額達 27.82 億元,佔某公司整年度採購總金額達 20.73%,達成原定年度採購佔比達 15% 之目標,並將 2025 年目標設定提高至 18%。",1,1,1,Step 1: 時間錨點包括2023年和2024年，核心動作為綠色採購擴大化和達標。Step 2: 2023年達到了近2倍成長和2024年達成年度目標，這些皆為已完成的績效。Step 3: 文本包含2025年設定的未來目標，但核心為2024年的已完成成果。Step 4: 判定為歷史/現狀，故為 1。,0,Step 1: 文本核心主詞是公司本身的行動，描述推動綠色採購。Step 2: 數字描述的是公司已達成的綠色採購績效與未來目標，不是未來情境造成的損失。Step 3: 這是公司綠色採購數據與目標，非風險或衝擊揭露。Step 4: 屬於公司主動承諾和目標設定，因此判定為 0。,0,Step 1: 文中雖有積極推動等軟詞，但不影響核心信息，因為具體行動和成果被揭露。Step 2: 提供了 2023 年和 2024 年明確的採購金額和比例，及 2025 年的目標比例，還提到 FSC 認證等，可查證資訊相當豐富。Step 3: 綠色採購金額和認證等內容可被第三方查證。Step 4: 軟詞非核心，硬證據充分，故判定為 0。
10008,"某公司由董事長童子賢先生公開宣誓集團對長期節能減碳的決心,期能在集團的共同努力下,對全球溫室氣體減量能有所貢獻。為落實某公司之溫室氣體管理措施及政策,企總及各主要製造廠區皆成立溫室氣體盤查委員會,進行溫室氣體盤查與管理,釐清轄屬的溫室氣體排放源,以此為依據進一步擬定減量計畫及設定減量目標,降低因業務、生產、員工活動或服務所帶來對環境的衝擊,善盡保護地球環境之責任。",0,1,1,Step 1: 核心動作為成立委員會進行盤查與管理，時間錨點不明確具體。Step 2: 委員會的成立和盤查工作目前看似正在實施中。Step 3: 雖提到期望進一步擬定減量計畫及目標，但核心是已成立的組織委員會及正在進行的管理措施。Step 4: 根據已執行的盤查管理行為，判定為歷史/現狀，故為 1。,0,Step 1: 文本核心主詞是公司本身的行動和承諾。Step 2: 描述的是公司主動達成的節能減碳目標和措施，不涉及未來情境的衝擊或損失。Step 3: 不是單純數據揭露，也不是風險管理流程，而是具體的政策與承諾。Step 4: 判定為 0。,0,Step 1: 出現公開宣誓決心、期能有所貢獻、落實措施、以此為依據進一步擬定等詞語，有些偏向宣誓性質。Step 2: 有成立委員會、進行盤查、釐清排放源等較具體的行動。Step 3: 成立委員會與盤查活動可查證，但『期能貢獻』無具體對象或數據支持。Step 4: 但有實質行動計畫的開展，尚未完全避險性，所以應避免過度判定。故判定為 0。
10009,"近年來不時有便利商店發生職場暴力攻擊事件,勞動部訂定「便利商店職場不法侵害預防安全衛生指引」外,亦將列為勞動檢查方針。為響應主管機關推動職場不法侵害預防,公司透過跨單位合作,逐項檢視各項執行作為,設定短、中、長期執行目標,從軟體到硬體,進行檢視、補強與強化,增加安全保護機制營造友善職場,相關執行作為如下:",0,1,0,Step 1: 核心動作為設定執行目標、檢視、補強與強化，時間錨點涉及未來的短、中、長期目標。Step 2: 核心成果是未來必須執行才能達成的。Step 3: 文本核心是未來目標。Step 4: 判定為未來，故為 0。,0,Step 1: 文本核心主詞是公司，因果來源為響應主管機關政策。Step 2: 描述的是公司為預防職場侵害所採取的執行措施和目標。Step 3: 這是公司對政策的主動承諾與行動，不是外部情境造成的財務衝擊。Step 4: 判定為 0。,1,"Step 1: 文本中使用了一些通用詞如""逐項檢視""、""設定短、中、長期執行目標""，但沒有具體描述行動或成果。Step 2: 沒有提供明確的時間框架或可查證的量化數據。Step 3: 描述的行動如跨單位合作和檢視作為，缺乏可被查證的具體措施或結果。Step 4: 由於文本核心缺乏具體可驗證的承諾，故判定為 1。"
10010,"某公司中山廠區 2024 失能傷害頻率 (FR) 某公司為 0.9,失能傷害嚴重率 (SR) (取至整數) 為 2715,與過去一年相比,失能傷害頻率 (FR) 上升及失能傷害嚴重率 (SR) 上升 (2023 年 FR 及 SR 為 0、0)。主因為 2024 年發生一件人員走路扭傷腳、一件員工死亡事故,導致失能傷害頻率 (FR) 上升及失能傷害嚴重率 (SR) 上升。改善措施,加強員工安全宣導以提高員工安全意識;全面盤查機械設備,升級安全防護。",1,0,1,Step 1: 時間錨點為2024年，核心動作為失能傷害頻率和嚴重率的數據揭露。Step 2: 事故已發生，數據以及原因分析是過去已經完成的事實。Step 3: 未來目標在於改善措施，但核心是已發生的現況。Step 4: 判定為歷史/現狀，故為 1。,0,Step 1: 文本核心主詞是公司中山廠區的過去事件記錄與措施。Step 2: 數字FR和SR是過去一年內的數據，不是未來情境衝擊或損失。Step 3: 描述了過去的現況和改善措施，不是被動風險或情境預測。Step 4: 判定為 0。,0,Step 1: 文中包含加強、全面盤查、升級等動詞，但並非典型避險軟詞。Step 2: 提供了具體的數字如失能傷害頻率 (FR) 及失能傷害嚴重率 (SR)，以及2024年的具體事故情況。Step 3: 數字可被第三方查證並與2023年數據作比較。Step 4: 雖有改善計劃，但已含明確的事實與數據，因此應避免過度判成 1。
